price,timestamp,lastupdateid,pricechange,pricechangepercent,weightedavgprice,prevcloseprice,lastprice,lastqty,bidprice,bidqty,askprice,askqty,openprice,highprice,lowprice,volume,quotevolume
57246.0,2024-08-08 03:52:43.053987,50039666942,412.37000000,0.72600000,56251.41617561,56833.63000000,57246.00000000,0.00954000,57245.99000000,2.55823000,57246.00000000,1.58006000,56833.63000000,57736.05000000,54558.62000000,46025.10705000,2588977451.19677600
57246.0,2024-08-08 03:52:43.512142,50039666942,412.37000000,0.72600000,56251.41617561,56833.63000000,57246.00000000,0.00954000,57245.99000000,2.55823000,57246.00000000,1.58006000,56833.63000000,57736.05000000,54558.62000000,46025.10705000,2588977451.19677600
60782.0,2024-08-09 22:34:29.215116,50143818618,-447.99000000,-0.73200000,60880.95740733,61229.99000000,60782.00000000,0.00013000,60782.00000000,0.60205000,60782.01000000,6.34069000,61229.99000000,62745.14000000,59535.00000000,36438.94884000,2218438092.29591130
60737.99,2024-08-09 22:35:07.856581,50143836780,-450.01000000,-0.73500000,60880.66386099,61187.99000000,60737.99000000,0.00027000,60737.99000000,0.72794000,60738.00000000,1.94004000,61188.00000000,62745.14000000,59535.00000000,36416.59507000,2217066483.41843460
60606.0,2024-08-09 22:39:53.258251,,-647.07000000,-1.05600000,60878.66958602,61253.08000000,60606.00000000,0.00781000,60605.99000000,0.29816000,60606.00000000,4.28905000,61253.07000000,62745.14000000,59535.00000000,36255.48840000,2207185898.98346600
60617.96,2024-08-09 22:40:08.606134,50143998405,-611.27000000,-0.99800000,60878.61036068,61221.29000000,60610.01000000,0.01755000,60610.00000000,5.39651000,60610.01000000,1.56701000,61221.28000000,62745.14000000,59535.00000000,36250.56314000,2206883908.75520400
60629.37,2024-08-09 22:45:06.523915,50144109849,-508.50000000,-0.83200000,60876.87480666,61137.87000000,60629.37000000,0.01500000,60629.37000000,0.66148000,60629.38000000,4.06878000,61137.87000000,62745.14000000,59535.00000000,36104.98571000,2197958694.96379230
60660.82,2024-08-09 22:50:06.715084,50144225091,-821.19000000,-1.33600000,60868.68055850,61482.01000000,60660.82000000,0.00005000,60660.82000000,0.06151000,60660.83000000,5.43527000,61482.01000000,62745.14000000,59535.00000000,35611.97008000,2167653630.85832640
60750.16,2024-08-09 22:55:07.653722,50144325392,-1168.33000000,-1.88700000,60851.59419816,61918.50000000,60750.16000000,0.00030000,60750.15000000,2.28576000,60750.16000000,1.29414000,61918.49000000,62745.14000000,59535.00000000,35094.55737000,2135559763.64332700
60763.59,2024-08-09 23:00:12.482523,50144387054,-1558.39000000,-2.50100000,60802.95179680,62321.98000000,60763.59000000,0.00087000,60763.58000000,2.52538000,60763.59000000,3.18548000,62321.98000000,62745.14000000,59535.00000000,33925.42187000,2062765790.64785600
60700.01,2024-08-09 23:05:08.009489,50144459590,-1542.00000000,-2.47700000,60763.24942399,62242.00000000,60700.01000000,0.04976000,60700.01000000,0.88435000,60700.02000000,3.04293000,62242.01000000,62550.00000000,59535.00000000,33161.83017000,2015020557.97557100
60537.97,2024-08-09 23:10:07.492442,50144538602,-1922.03000000,-3.07700000,60749.05848432,62460.00000000,60537.97000000,0.00016000,60537.96000000,2.64603000,60537.97000000,3.69110000,62460.00000000,62550.00000000,59535.00000000,32929.82882000,2000456096.86496900
60519.95,2024-08-09 23:15:07.371421,50144601741,-1837.61000000,-2.94700000,60735.41562364,62357.56000000,60519.95000000,0.00009000,60519.94000000,4.24936000,60519.95000000,0.10938000,62357.56000000,62381.90000000,59535.00000000,32685.90530000,1985192043.43031640
60422.0,2024-08-09 23:20:07.396877,50144718980,-1866.01000000,-2.99600000,60721.51725719,62288.01000000,60422.00000000,0.00163000,60422.00000000,2.15429000,60422.01000000,0.22229000,62288.01000000,62310.00000000,59535.00000000,32452.81798000,1970584347.01695060
60410.0,2024-08-09 23:25:08.555931,50144824686,-1765.43000000,-2.83900000,60708.96877453,62175.43000000,60410.00000000,0.00009000,60409.99000000,5.71145000,60410.00000000,0.34471000,62175.43000000,62180.00000000,59535.00000000,32237.22648000,1957088775.75164840
60606.27,2024-08-09 23:30:38.748094,50144950827,-1335.68000000,-2.15600000,60691.22806280,61945.67000000,60609.99000000,0.00179000,60609.99000000,5.17684000,60610.00000000,0.30282000,61945.67000000,62086.00000000,59535.00000000,31867.70871000,1934090377.15735270
60806.0,2024-08-09 23:35:06.911023,50145085485,-1055.19000000,-1.70600000,60681.41887963,61861.19000000,60806.00000000,0.04612000,60805.99000000,0.33280000,60806.00000000,3.07715000,61861.19000000,62086.00000000,59535.00000000,31668.45504000,1921686785.55282520
60696.01,2024-08-09 23:40:08.845389,50145236025,-1174.00000000,-1.89800000,60672.99581024,61870.00000000,60696.01000000,0.00333000,60696.00000000,1.13517000,60696.01000000,2.88084000,61870.01000000,62086.00000000,59535.00000000,31511.11780000,1911873918.25539200
60681.98,2024-08-09 23:45:09.714772,50145340517,-1270.39000000,-2.05100000,60662.51289508,61952.43000000,60682.00000000,0.00009000,60682.00000000,0.13737000,60682.01000000,6.40654000,61952.39000000,61952.39000000,59535.00000000,31283.26227000,1897721300.85410550
60667.92,2024-08-09 23:50:06.965455,50145455092,-1110.59000000,-1.79800000,60655.96187224,61778.50000000,60667.92000000,0.00022000,60667.91000000,5.03773000,60667.92000000,0.36031000,61778.51000000,61860.80000000,59535.00000000,31135.32300000,1888542964.76798730
60834.01,2024-08-09 23:55:23.761335,50145560281,-1005.70000000,-1.62600000,60651.86097824,61843.25000000,60837.55000000,0.01540000,60837.55000000,0.10651000,60837.56000000,4.21829000,61843.25000000,61860.80000000,59535.00000000,31088.19419000,1885556832.07634350
60834.39,2024-08-10 00:00:08.288958,50145648709,-845.61000000,-1.37100000,60645.78549482,61680.00000000,60834.39000000,0.00031000,60834.38000000,0.84141000,60834.39000000,2.40587000,61680.00000000,61744.37000000,59535.00000000,30977.99005000,1878684539.63304190
60708.01,2024-08-10 00:05:24.206794,50145737229,-897.98000000,-1.45800000,60639.05445090,61606.00000000,60708.01000000,0.00145000,60708.00000000,0.70942000,60708.01000000,7.60820000,61605.99000000,61700.00000000,59535.00000000,30898.63695000,1873664128.46969650
60728.01,2024-08-10 00:10:24.842449,50145829404,-711.53000000,-1.15800000,60632.71966126,61439.54000000,60728.01000000,0.00027000,60728.00000000,0.23400000,60728.01000000,8.72144000,61439.54000000,61680.50000000,59535.00000000,30735.98060000,1863606095.23376870
60888.01,2024-08-10 00:15:06.94171,50145936830,-627.26000000,-1.02000000,60625.70332928,61515.27000000,60888.01000000,0.00556000,60888.00000000,0.11293000,60888.01000000,8.14562000,61515.27000000,61680.50000000,59535.00000000,30504.65106000,1849365925.32683920
